Date,Confirmed,Recovered,Deaths
2020-01-22,0,0,0
2020-01-23,0,0,0
2020-01-24,0,0,0
2020-01-25,0,0,0
2020-01-26,0,0,0
2020-01-27,0,0,0
2020-01-28,0,0,0
2020-01-29,0,0,0
2020-01-30,1,0,0
2020-01-31,1,0,0
2020-02-01,1,0,0
2020-02-02,2,0,0
2020-02-03,3,0,0
2020-02-04,3,0,0
2020-02-05,3,0,0
2020-02-06,3,0,0
2020-02-07,3,0,0
2020-02-08,3,0,0
2020-02-09,3,0,0
2020-02-10,3,0,0
2020-02-11,3,0,0
2020-02-12,3,0,0
2020-02-13,3,0,0
2020-02-14,3,0,0
2020-02-15,3,0,0
2020-02-16,3,3,0
2020-02-17,3,3,0
2020-02-18,3,3,0
2020-02-19,3,3,0
2020-02-20,3,3,0
2020-02-21,3,3,0
2020-02-22,3,3,0
2020-02-23,3,3,0
2020-02-24,3,3,0
2020-02-25,3,3,0
2020-02-26,3,3,0
2020-02-27,3,3,0
2020-02-28,3,3,0
2020-02-29,3,3,0
2020-03-01,3,3,0
2020-03-02,5,3,0
2020-03-03,5,3,0
2020-03-04,28,3,0
2020-03-05,30,3,0
2020-03-06,31,3,0
2020-03-07,34,3,0
2020-03-08,39,3,0
2020-03-09,43,3,0
2020-03-10,56,4,0
2020-03-11,62,4,1
2020-03-12,73,4,1
2020-03-13,82,4,2
2020-03-14,102,4,2
2020-03-15,113,13,2
2020-03-16,119,13,2
2020-03-17,142,14,3
2020-03-18,156,14,3
2020-03-19,194,15,4
2020-03-20,244,20,5
2020-03-21,330,23,4
2020-03-22,396,27,7
2020-03-23,499,27,10
2020-03-24,536,40,10
2020-03-25,657,43,12
2020-03-26,727,45,20
2020-03-27,887,73,20
2020-03-28,987,84,24
2020-03-29,1024,95,27
2020-03-30,1251,102,32
2020-03-31,1397,123,35
2020-04-01,1998,148,58
2020-04-02,2543,191,72
2020-04-03,2567,192,72
2020-04-04,3082,229,86
2020-04-05,3588,229,99
2020-04-06,4778,375,136
2020-04-07,5311,421,150
2020-04-08,5916,506,178
2020-04-09,6725,620,226
2020-04-10,7598,774,246
2020-04-11,8446,969,288
2020-04-12,9205,1080,331
2020-04-13,10453,1181,358
2020-04-14,11487,1359,393
2020-04-15,12322,1432,405
2020-04-16,13430,1768,448
2020-04-17,14352,2041,486
2020-04-18,15722,2463,521
2020-04-19,17615,2854,559
2020-04-20,18539,3273,592
2020-04-21,20080,3975,645
2020-04-22,21370,4370,681
2020-04-23,23077,5012,721
2020-04-24,24530,5498,780
2020-04-25,26283,5939,825
2020-04-26,27890,6523,881
2020-04-27,29451,7137,939
2020-04-28,31324,7747,1008
2020-04-29,33062,8437,1079
2020-04-30,34863,9068,1154
2020-05-01,37257,10007,1223
2020-05-02,39699,10819,1323
2020-05-03,42505,11775,1391
2020-05-04,46437,12847,1566
2020-05-05,49400,14142,1693
2020-05-06,52987,15331,1785
2020-05-07,56351,16776,1889
2020-05-08,59695,17887,1985
2020-05-09,62808,19301,2101
2020-05-10,67161,20969,2212
2020-05-11,70768,22549,2294
2020-05-12,74292,24420,2415
2020-05-13,78055,26400,2551
2020-05-14,81997,27969,2649
2020-05-15,85784,30258,2753
2020-05-16,90648,34224,2871
2020-05-17,95698,36795,3025
2020-05-18,100328,39233,3156
2020-05-19,106475,42309,3302
2020-05-20,112028,45422,3434
2020-05-21,118226,48553,3584
